Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",198.600000,-66.062500,-90.000000,top
"C2","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",200.550000,-66.312500,-90.000000,top
"C5","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",204.937500,-72.512500,90.000000,top
"C6","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",214.025000,-75.700000,180.000000,top
"C7","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",214.025000,-77.700000,180.000000,top
"C8","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",217.387500,-65.962500,90.000000,top
"C9","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",219.287500,-65.725000,90.000000,top
"C10","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",223.687500,-65.737500,-90.000000,top
"C11","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",218.187500,-81.337500,-90.000000,top
"C12","14p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",218.937500,-73.050000,-90.000000,top
"C13","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",216.287500,-74.000000,0.000000,top
"C14","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",206.800000,-63.500000,90.000000,top
"C15","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",221.975000,-77.475000,0.000000,top
"C16","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",209.637500,-77.600000,0.000000,top
"C17","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",209.637500,-75.600000,0.000000,top
"C18","14p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",218.937500,-69.412500,90.000000,top
"C19","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",203.900000,-69.000000,180.000000,top
"C20","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",197.812500,-52.800000,0.000000,top
"C21","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",198.037500,-54.800000,180.000000,top
